grammatical,ungrammatical,direct_log_prob_grammatical,direct_log_prob_ungrammatical,MetaQuestionSimple_log_prob_yes_grammatical,MetaQuestionSimple_log_prob_no_grammatical,MetaQuestionSimple_log_prob_yes_ungrammatical,MetaQuestionSimple_log_prob_no_ungrammatical,MetaInstruct_log_prob_yes_grammatical,MetaInstruct_log_prob_no_grammatical,MetaInstruct_log_prob_yes_ungrammatical,MetaInstruct_log_prob_no_ungrammatical,MetaQuestionComplex_log_prob_yes_grammatical,MetaQuestionComplex_log_prob_no_grammatical,MetaQuestionComplex_log_prob_yes_ungrammatical,MetaQuestionComplex_log_prob_no_ungrammatical
Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,-52.08450651168823,-54.58492422103882,-1.5546303987503052,-4.00429630279541,-1.4321949481964111,-2.448718309402466,-0.6358104944229126,-3.782956600189209,-0.7697370052337646,-2.271784543991089,-1.072042465209961,-4.086413383483887,-1.6811141967773438,-3.3501758575439453
Ronald's student is discovering one hopeful father and every cousin of Becky is discovering some.,Ronald's student is discovering one father and every cousin of Becky is discovering some hopeful.,-165.58468437194824,-169.29409790039062,-2.7840209007263184,-3.88020658493042,-3.0642402172088623,-3.611661672592163,-1.6916005611419678,-3.5713937282562256,-2.55861234664917,-3.287745952606201,-1.6680388450622559,-3.3929896354675293,-1.5051053762435913,-3.5113348960876465
Florence is forgotten by some boy.,Florence is forgotten by some species.,-61.33372497558594,-56.0665283203125,-1.8110859394073486,-3.088911294937134,-1.7781615257263184,-3.4554457664489746,-0.862630307674408,-2.828641414642334,-0.8959141373634338,-3.1289634704589844,-2.463019371032715,-4.5378570556640625,-2.0930051803588867,-4.66490364074707
It's itself that that pork would stun.,It's itself that would stun that pork.,-89.28503894805908,-88.8211841583252,-3.934419631958008,-2.8939428329467773,-4.46089506149292,-3.5258965492248535,-2.6680727005004883,-2.4488039016723633,-2.9294419288635254,-3.2202582359313965,-3.101531505584717,-3.9067349433898926,-2.8514370918273926,-3.981271266937256
Sara can't scan that story.,Music can't scan that story.,-62.415626525878906,-62.773966789245605,-2.124356508255005,-3.360469102859497,-2.4037187099456787,-3.592074155807495,-1.1114581823349,-3.1539645195007324,-1.5680136680603027,-3.425398349761963,-1.1954890489578247,-4.1446027755737305,-1.3488258123397827,-4.290696620941162
Wendy didn't approach that actress.,The slope didn't approach that actress.,-54.678311347961426,-69.33998107910156,-3.7659058570861816,-4.6602396965026855,-2.656826972961426,-4.225942611694336,-1.9148931503295898,-4.37879753112793,-1.5256521701812744,-3.596489191055298,-1.4281493425369263,-4.094505310058594,-1.739207148551941,-4.2831830978393555
Barbara bought.,Barbara lifts.,-41.1757698059082,-46.830299377441406,-4.133302211761475,-5.977595806121826,-2.836623191833496,-5.775789260864258,-3.13175368309021,-5.738119125366211,-1.3697423934936523,-4.808382034301758,-1.5525466203689575,-3.868124008178711,-2.0332860946655273,-3.866453170776367
The hidden snakes aren't black.,The hid snakes aren't black.,-61.314534187316895,-71.42784309387207,-1.9879355430603027,-3.469571590423584,-2.242302656173706,-2.8952414989471436,-1.1092177629470825,-3.451657295227051,-1.3747209310531616,-2.8784289360046387,-1.557560920715332,-4.639002799987793,-1.3481124639511108,-4.3002238273620605
Amanda was boycotting whose malls?,Whose was Amanda boycotting malls?,-75.94851207733154,-71.66239356994629,-3.282937526702881,-2.9882445335388184,-4.427814960479736,-3.2934727668762207,-2.1504509449005127,-2.4193451404571533,-2.988349437713623,-2.665256977081299,-3.342838764190674,-5.555496692657471,-2.831447124481201,-5.068920612335205
Roger does complain about himself.,Roger does complain about themselves.,-60.34161186218262,-66.33386993408203,-0.8329506516456604,-3.6063833236694336,-1.0651702880859375,-3.1921567916870117,-0.5338736176490784,-3.657526969909668,-0.7128182053565979,-3.124964714050293,-1.3985673189163208,-3.6843528747558594,-1.4477217197418213,-3.741802453994751
Every waitress boasted about herself.,Every waitress boasted about themselves.,-66.98918724060059,-67.31268310546875,-1.8051413297653198,-2.847893714904785,-1.7468676567077637,-2.9320693016052246,-1.1068806648254395,-2.605679988861084,-1.0775269269943237,-2.799285888671875,-1.3539366722106934,-3.9410853385925293,-1.3500607013702393,-4.121509552001953
Russell's guests who can escape from Keith did not ever write.,Russell's guests who can not escape from Keith did ever write.,-99.87030982971191,-109.95865821838379,-1.7878220081329346,-3.6916019916534424,-1.6111866235733032,-3.069385051727295,-1.126053810119629,-3.407327651977539,-1.2464179992675781,-2.7643566131591797,-2.198446273803711,-4.427123069763184,-2.7891669273376465,-4.325100421905518
What have Larry and Homer hired?,What had Larry hired and Homer?,-67.88872337341309,-84.26050662994385,-1.907772183418274,-3.8137617111206055,-2.7393691539764404,-2.6807734966278076,-1.0933640003204346,-2.5703413486480713,-1.6210706233978271,-1.9654710292816162,-2.720672607421875,-5.576868057250977,-2.506650447845459,-5.3079094886779785
The children were saying Matt insulted himself.,The children were saying Matt insulted themselves.,-79.74450302124023,-79.44133186340332,-1.871484637260437,-3.816244125366211,-2.2287068367004395,-4.014227390289307,-1.093133568763733,-3.4828410148620605,-1.2420769929885864,-3.6696128845214844,-1.219783902168274,-3.813169479370117,-1.3065685033798218,-3.785168170928955
Lissa questions every government that irritated Brian.,Lissa questions who every government irritated Brian.,-93.55311584472656,-102.31701278686523,-1.9238053560256958,-3.221231460571289,-2.5544469356536865,-3.5417211055755615,-1.0151761770248413,-3.348328113555908,-1.3013696670532227,-3.22122859954834,-1.5507073402404785,-4.764642238616943,-1.8626480102539062,-4.243730545043945
The women forget who students sounded like.,The women forget that students sounded like.,-78.61201477050781,-81.64331817626953,-3.5435543060302734,-3.9640560150146484,-4.584471225738525,-4.968285083770752,-2.1302618980407715,-3.183887004852295,-2.9929935932159424,-4.300227165222168,-2.182607650756836,-4.062999725341797,-1.987945795059204,-3.4039194583892822
The man hasn't insulted Valerie.,The man haven't insulted Valerie.,-70.14923858642578,-74.18755340576172,-4.065308570861816,-5.222868919372559,-2.701246738433838,-4.491372585296631,-1.592640995979309,-4.564589500427246,-1.220750093460083,-3.9906399250030518,-1.778140664100647,-4.670030117034912,-1.9131461381912231,-4.5884809494018555
Gary thinks about himself looking like paintings.,Gary thinks about himself looks like paintings.,-74.70821380615234,-71.51983642578125,-2.512190580368042,-3.1365764141082764,-2.0148541927337646,-3.122934103012085,-1.4224804639816284,-2.961298942565918,-1.0809894800186157,-2.9526524543762207,-1.138586401939392,-3.8748698234558105,-1.3434242010116577,-3.8856101036071777
No guy was admiring more than two forks.,No guy was admiring at least two forks.,-70.16252994537354,-71.30595207214355,-2.2611594200134277,-1.804467797279358,-2.617542266845703,-1.9141932725906372,-1.4032996892929077,-2.625953197479248,-1.7726364135742188,-2.6550588607788086,-1.761475920677185,-2.667567729949951,-1.72660493850708,-2.7279915809631348
Some child has wept.,Some child have wept.,-51.67880058288574,-53.622018814086914,-1.1519917249679565,-3.6236495971679688,-1.4839801788330078,-3.8185081481933594,-0.5065222978591919,-3.445568084716797,-0.6611736416816711,-3.1978118419647217,-1.4976496696472168,-4.268626689910889,-1.6541599035263062,-4.36724328994751
Alicia hasn't ascended many mountains.,Alicia haven't ascended many mountains.,-62.31096267700195,-71.45888328552246,-2.6345267295837402,-4.372386455535889,-2.0291330814361572,-3.755603075027466,-1.2589682340621948,-3.7874374389648438,-1.1741968393325806,-3.407783031463623,-1.6631006002426147,-3.8138833045959473,-2.02142333984375,-3.889876365661621
Some men's partner was judging it to be unexpected that Tracy can't predict Candice to talk about these guests.,Some men's partner wasn't enticing it to be unexpected that Tracy can't predict Candice to talk about these guests.,-177.5173544883728,-188.55002975463867,-4.233997344970703,-4.111601829528809,-4.604493141174316,-4.095610618591309,-2.5440237522125244,-3.821143388748169,-3.861219644546509,-3.9919731616973877,-1.7248339653015137,-3.794166088104248,-1.7394627332687378,-3.4469709396362305
Susan isn't watching several hairdressers and a man's mentee isn't watching a few content hairdressers.,Susan isn't watching several uncertain hairdressers and a man's mentee isn't watching a few content.,-137.83675003051758,-144.08056545257568,-1.725874423980713,-3.7125048637390137,-1.8159643411636353,-3.4881539344787598,-1.1603672504425049,-3.820348024368286,-1.2086912393569946,-3.63279390335083,-1.352516770362854,-3.7223429679870605,-1.3834055662155151,-3.864187240600586
The book resembled no orange photographs and these jackets resembled some.,The book resembled no photographs and these jackets resembled some orange.,-125.38644790649414,-122.86689376831055,-3.0719008445739746,-3.4369540214538574,-2.3691391944885254,-3.4309334754943848,-1.8103597164154053,-3.250778913497925,-1.3347089290618896,-3.2837655544281006,-1.4391266107559204,-3.667478084564209,-1.3421329259872437,-3.8880534172058105
Rachel respected herself.,Rachel respected itself.,-44.533443450927734,-51.86484146118164,-1.4674040079116821,-3.9048333168029785,-1.7608678340911865,-3.3758065700531006,-0.5684280395507812,-4.0802717208862305,-0.9028405547142029,-3.129497528076172,-1.0991501808166504,-4.163096904754639,-1.522072196006775,-4.326419353485107
No actor explored fewer than eight high schools.,No actor explored at most eight high schools.,-74.19824409484863,-73.22598838806152,-2.610060214996338,-2.135561466217041,-2.679286479949951,-1.9719500541687012,-1.5267056226730347,-3.24346923828125,-1.6080273389816284,-3.008498191833496,-0.9448619484901428,-3.8751025199890137,-1.4682461023330688,-3.7819533348083496
Bethany's friend can anticipate it to be uninteresting that some cilantro has ripened.,Bethany's friend dares it to be uninteresting that some cilantro has ripened.,-125.77824020385742,-136.94918584823608,-1.751953125,-2.928455352783203,-1.6845067739486694,-2.9916281700134277,-1.0783790349960327,-2.7868475914001465,-1.1520779132843018,-2.7352726459503174,-0.9668470621109009,-3.73518705368042,-1.1839786767959595,-4.014902591705322
Guy hadn't left himself.,Guy hadn't left themselves.,-48.94893836975098,-55.7552433013916,-2.68998384475708,-3.567800998687744,-2.952744722366333,-3.5165255069732666,-1.296542763710022,-3.16658353805542,-1.6678270101547241,-3.0845694541931152,-1.259253978729248,-4.0081610679626465,-1.3873202800750732,-3.978121519088745
Spain is difficult to bike to.,Spain is likely to bike to.,-42.972198486328125,-47.62031555175781,-1.5448904037475586,-2.917241096496582,-2.4972426891326904,-3.543344259262085,-1.1621873378753662,-2.323871374130249,-1.9849718809127808,-3.4506492614746094,-2.3247742652893066,-3.612135410308838,-2.4018044471740723,-3.0287137031555176
Lisa will imagine Vincent knows himself.,Vincent will imagine Lisa knows himself.,-82.50773620605469,-79.23365020751953,-1.329976201057434,-2.9972848892211914,-4.174545764923096,-5.470543384552002,-0.6961557865142822,-3.095154047012329,-2.238647222518921,-4.449868202209473,-1.3009053468704224,-4.299094200134277,-1.3353264331817627,-4.661619186401367
Kathleen thinks Andrew discusses himself.,Andrew thinks Kathleen discusses himself.,-72.28417205810547,-69.11377716064453,-2.770689010620117,-3.096599578857422,-3.1760683059692383,-3.0400161743164062,-1.6752694845199585,-2.7904887199401855,-1.9227268695831299,-2.355778932571411,-1.5135681629180908,-4.04349422454834,-1.5699740648269653,-3.8066349029541016
Carla's daughters are preferring there to be an actor slumping over.,Carla's daughters are urging there to be an actor slumping over.,-111.73644304275513,-114.49020624160767,-2.212920904159546,-3.9890639781951904,-2.529252052307129,-4.0189924240112305,-1.3145170211791992,-3.906576156616211,-1.3443844318389893,-3.7357685565948486,-1.3946152925491333,-3.9232025146484375,-1.3736387491226196,-4.364527225494385
Richard's tutors weren't worried by current events.,Richard's tutors weren't smiled by current events.,-78.7098217010498,-87.1951675415039,-2.2872862815856934,-4.2942585945129395,-1.8433011770248413,-4.066906452178955,-1.5002405643463135,-4.216912269592285,-1.1008384227752686,-3.487654447555542,-1.0341986417770386,-4.187450408935547,-1.1855021715164185,-4.2522687911987305
Only David could ever talk.,Even David could ever talk.,-60.09910011291504,-56.24570274353027,-1.705701470375061,-2.632202625274658,-1.7922208309173584,-2.5801808834075928,-0.8164172768592834,-2.3134169578552246,-1.1171640157699585,-2.30320405960083,-1.400360345840454,-4.048853874206543,-1.1517469882965088,-4.317307472229004
All banks are there prodding Randolf to insult these schools.,There are all banks prodding Randolf to insult these schools.,-123.47788619995117,-122.1892318725586,-2.5524775981903076,-2.84208083152771,-2.8968687057495117,-3.5232343673706055,-1.7279958724975586,-2.8437585830688477,-1.6786195039749146,-3.0971527099609375,-1.6031460762023926,-3.7077317237854004,-1.6845368146896362,-3.617145538330078
Alicia won't remember analyses that this man examined.,Alicia won't remember what this man examined analyses.,-98.08110809326172,-103.62882614135742,-2.2635951042175293,-4.325178623199463,-2.1599276065826416,-3.7369940280914307,-1.1041818857192993,-3.8272805213928223,-1.0825841426849365,-3.4288594722747803,-1.5490466356277466,-4.198264122009277,-1.744262456893921,-4.094664573669434
The woman was working with Naomi.,The women was working with Naomi.,-58.252668380737305,-66.29731178283691,-1.97419011592865,-4.841110706329346,-2.030637264251709,-4.279615879058838,-0.7991439700126648,-4.147857666015625,-0.81882244348526,-3.4389758110046387,-1.3083655834197998,-4.555075645446777,-1.4093780517578125,-4.677213668823242
Every public park wasn't there embarrassing Veronica.,There wasn't every public park embarrassing Veronica.,-103.99283981323242,-97.21059322357178,-2.515528440475464,-2.193648099899292,-3.3813610076904297,-3.1587486267089844,-1.4631984233856201,-2.5169284343719482,-1.5300127267837524,-3.0566658973693848,-1.1163268089294434,-3.651686191558838,-1.6721382141113281,-3.9362735748291016
The government isn't arguing about Heidi.,The government aren't arguing about Heidi.,-64.2835693359375,-69.3818130493164,-5.059839248657227,-3.9057350158691406,-5.051497936248779,-4.3287177085876465,-3.8123722076416016,-4.041717529296875,-3.6040854454040527,-4.366124629974365,-1.4408795833587646,-3.6749770641326904,-1.5796979665756226,-3.4772448539733887
Every senator toured at least eight hospitals.,No senator toured at least eight hospitals.,-81.12947082519531,-72.91680145263672,-2.188070774078369,-3.1602702140808105,-2.3391122817993164,-2.111325263977051,-1.211092233657837,-3.1532928943634033,-1.7553454637527466,-2.749945640563965,-1.1828722953796387,-4.563724994659424,-1.397054672241211,-3.677337646484375
Carmen's dermatologists had argued about one young husband and Kayla had argued about three.,Carmen's dermatologists had argued about one husband and Kayla had argued about three young.,-135.2341651916504,-132.36968994140625,-1.3199315071105957,-3.8919405937194824,-1.8912644386291504,-4.125803470611572,-0.7386460304260254,-3.894435405731201,-1.0343174934387207,-3.697094440460205,-1.247177004814148,-3.3586835861206055,-1.1897608041763306,-3.335606098175049
Marcus's nieces were referenced by an adult.,Marcus's nieces were conspired by an adult.,-71.926589012146,-72.54345560073853,-1.5547423362731934,-3.3790230751037598,-1.9753597974777222,-3.3831377029418945,-0.7854048609733582,-3.2972981929779053,-1.0442231893539429,-3.062669277191162,-1.2553092241287231,-4.055031776428223,-1.7955446243286133,-3.8026161193847656
Most reports are pleasant to complain about.,Most reports are certain to complain about.,-66.44034576416016,-60.92669677734375,-2.3285651206970215,-3.9002413749694824,-3.304475784301758,-4.159814834594727,-1.2092010974884033,-3.5552523136138916,-1.8323861360549927,-4.0572004318237305,-1.3542976379394531,-4.615536689758301,-1.651119351387024,-4.512180328369141
Jill can not ever prevent Marcus from messing up most public parks.,Jill can probably ever prevent Marcus from messing up most public parks.,-104.59484386444092,-110.40054416656494,-1.423168659210205,-3.766690731048584,-1.9116963148117065,-3.60189151763916,-0.9528070092201233,-3.841216564178467,-1.2482643127441406,-3.608623504638672,-1.115883469581604,-4.082824230194092,-1.0632930994033813,-4.20077657699585
Tracy hadn't hugged Emily.,This sweater hadn't hugged Emily.,-69.17042827606201,-74.40439319610596,-2.5466480255126953,-3.6758203506469727,-2.603255271911621,-3.2245473861694336,-1.115561842918396,-3.1763863563537598,-1.4127414226531982,-2.8384902477264404,-1.046907663345337,-3.49721360206604,-1.1191414594650269,-4.330778121948242
No waitress visited fewer than three teenagers.,No waitress visited at most three teenagers.,-70.85894012451172,-70.95480346679688,-2.251573085784912,-2.382932186126709,-2.5704853534698486,-2.277557611465454,-1.583332896232605,-3.4823570251464844,-2.043935775756836,-3.4449377059936523,-1.2590327262878418,-3.1833949089050293,-1.6996541023254395,-3.4360108375549316
The taken chair is big.,The took chair is big.,-57.70895004272461,-62.261152267456055,-1.2992318868637085,-3.760009288787842,-1.9521023035049438,-3.278810977935791,-0.6651869416236877,-3.433964729309082,-1.1287287473678589,-2.8460159301757812,-1.928403615951538,-5.01494026184082,-1.64596688747406,-4.577685832977295
Susan hugged herself.,Susan hugged themselves.,-41.19381332397461,-46.83049011230469,-1.1540104150772095,-4.516982555389404,-1.5765665769577026,-4.008044242858887,-0.34686484932899475,-4.599945068359375,-0.6152322292327881,-4.044467926025391,-0.8392987847328186,-4.597412586212158,-0.9550585150718689,-4.321570873260498
Matt unfolded that blouse.,Matt existed that blouse.,-62.242422103881836,-57.72000789642334,-1.4904011487960815,-4.200325965881348,-3.6074399948120117,-3.4095544815063477,-0.6293350458145142,-4.245713710784912,-2.014895439147949,-2.705582618713379,-0.8598145246505737,-4.229113578796387,-1.3842663764953613,-3.047783374786377
Becky wasn't described by the driver.,Becky wasn't described by the cups.,-67.36137390136719,-70.5527400970459,-3.1774160861968994,-4.589705467224121,-3.402381420135498,-4.116865634918213,-2.308626651763916,-4.454432010650635,-2.4856069087982178,-3.807234525680542,-1.2823936939239502,-4.117056846618652,-1.465075135231018,-4.3625664710998535
Elizabeth's son won't stun one ill sister and a lot of dancers' daughter won't stun two.,Elizabeth's son won't stun one sister and a lot of dancers' daughter won't stun two ill.,-156.93551445007324,-154.39422798156738,-1.9698033332824707,-2.893932819366455,-3.0431575775146484,-3.1244239807128906,-1.2941625118255615,-2.8304240703582764,-2.4417710304260254,-3.135871410369873,-1.7843481302261353,-3.656263828277588,-1.9148104190826416,-3.655350923538208
Theresa won't research some banks that adults aggravate that forgot some pedestrian.,Theresa won't research who some banks that adults aggravate forgot some pedestrian.,-150.95750427246094,-165.89244079589844,-3.6428656578063965,-3.856703281402588,-2.9623517990112305,-3.49613094329834,-2.254605293273926,-3.6878128051757812,-1.9944638013839722,-3.459505081176758,-1.580010175704956,-3.6129214763641357,-1.6767046451568604,-3.7474138736724854
Every waiter hid Julia.,Every waiter hidden Julia.,-71.47379875183105,-70.16186714172363,-2.450469732284546,-1.9620873928070068,-2.5944876670837402,-2.144176959991455,-1.4511349201202393,-1.8381435871124268,-1.5338640213012695,-1.8204383850097656,-1.7630797624588013,-3.0606536865234375,-2.278970718383789,-3.7674503326416016
Which waitress has Amy hired?,Which has Amy hired waitress?,-66.39174842834473,-80.902587890625,-2.4272117614746094,-1.9626418352127075,-2.594374179840088,-1.1433378458023071,-1.3132109642028809,-1.8220858573913574,-1.8197627067565918,-1.268409252166748,-2.8073973655700684,-5.32204008102417,-3.1465234756469727,-4.438536643981934
Each documentary about music is there astounding Stacey.,There is each documentary about music astounding Stacey.,-105.98193168640137,-104.38841819763184,-2.896038055419922,-3.1376333236694336,-3.5615015029907227,-4.310426712036133,-1.591190218925476,-2.817293167114258,-1.6554911136627197,-4.051664352416992,-1.1132001876831055,-3.7642030715942383,-1.3939132690429688,-3.7866153717041016
No scarf should look like fewer than ten drawings.,No scarf should look like at most ten drawings.,-79.02570247650146,-77.18127250671387,-1.8898929357528687,-2.333159923553467,-2.2383031845092773,-2.2320356369018555,-1.1415493488311768,-3.2369349002838135,-1.6003609895706177,-3.089715003967285,-1.3124165534973145,-3.6702113151550293,-1.8444187641143799,-3.622393846511841
Kenneth was considering there to be a teacher cooking.,Kenneth was obliging there to be a teacher cooking.,-80.75350284576416,-93.24799919128418,-3.5157885551452637,-3.9826855659484863,-2.257044792175293,-3.349520683288574,-2.3384923934936523,-3.647092819213867,-1.3036037683486938,-2.981166362762451,-1.588357925415039,-3.670164108276367,-1.8367393016815186,-3.908008337020874
Literature bores that person.,Literature bores that people.,-64.98042583465576,-70.10084342956543,-1.2925240993499756,-3.695833921432495,-1.5498981475830078,-3.34512996673584,-0.9530866146087646,-3.6553666591644287,-1.1573799848556519,-3.3990001678466797,-1.2783535718917847,-4.28555965423584,-0.8782765865325928,-4.791906356811523
Brett wasn't likely to fall.,Brett wasn't tough to fall.,-56.45405578613281,-62.09611511230469,-4.091360569000244,-4.524815082550049,-3.3213586807250977,-4.32462215423584,-2.2760415077209473,-4.054019451141357,-1.7753936052322388,-3.836000442504883,-0.8985921740531921,-4.001965522766113,-1.2849572896957397,-3.388460636138916
That rabbit has found at least six mountains.,No rabbit has found at least six mountains.,-74.01425743103027,-62.9818639755249,-1.9662206172943115,-3.3439338207244873,-2.7193641662597656,-1.971023678779602,-1.077242136001587,-3.412379503250122,-1.7362043857574463,-2.926098108291626,-1.3185566663742065,-4.648658752441406,-1.6788493394851685,-3.660489082336426
Most ladies weren't arguing about themselves.,Most ladies weren't arguing about herself.,-58.408687591552734,-62.43739700317383,-1.8739787340164185,-3.560755729675293,-2.2526369094848633,-3.5963830947875977,-1.09248948097229,-3.4696695804595947,-1.1995062828063965,-3.315181255340576,-1.54580557346344,-4.0551533699035645,-1.443443775177002,-3.8978543281555176
Rachelle wasn't driving to the lake.,The drawing wasn't driving to the lake.,-60.390381813049316,-69.008225440979,-3.0857770442962646,-3.818042516708374,-2.2831523418426514,-3.6094624996185303,-1.6562516689300537,-3.7769935131073,-1.1101104021072388,-3.3687515258789062,-0.9805615544319153,-3.743299722671509,-1.2035919427871704,-4.142124652862549
Some governments hadn't taken this hospital.,Some governments hadn't taken these hospital.,-78.62467956542969,-83.8255386352539,-5.037328243255615,-4.44027853012085,-5.130860805511475,-4.109513759613037,-3.7787535190582275,-4.302530288696289,-3.9017655849456787,-3.834520101547241,-2.077646255493164,-4.6230573654174805,-2.1924338340759277,-4.049191951751709
Some pedestrians figure out that most drivers describe Elizabeth.,Some pedestrians figure out who most drivers describe Elizabeth.,-98.11443328857422,-104.24304008483887,-2.231851577758789,-3.6377620697021484,-1.894688367843628,-3.3682734966278076,-1.0582869052886963,-3.8388092517852783,-1.2369780540466309,-3.4609837532043457,-1.1342412233352661,-4.712305068969727,-1.1869946718215942,-4.567854881286621
Some glass had bothered at most ten patients.,No glass had bothered at most ten patients.,-90.33873081207275,-85.8942289352417,-2.204057216644287,-3.2179579734802246,-2.518050193786621,-2.2130393981933594,-1.2823556661605835,-2.9976248741149902,-1.5793343782424927,-2.7907724380493164,-1.3304542303085327,-4.4078288078308105,-1.4519667625427246,-3.835374355316162
There were some associations interacting.,There were all associations interacting.,-62.098886489868164,-69.6397876739502,-3.5108749866485596,-4.590095520019531,-4.3893141746521,-4.340048313140869,-1.738832950592041,-4.279216289520264,-2.1809439659118652,-4.1266608238220215,-1.6569864749908447,-4.507369041442871,-1.651443362236023,-4.009864807128906
The child is breaking most plates.,The children is breaking most plates.,-62.59781455993652,-69.56095790863037,-1.7596888542175293,-4.099838733673096,-1.6481562852859497,-3.831242561340332,-0.8196157813072205,-3.911569118499756,-0.8486830592155457,-3.6858747005462646,-1.003395676612854,-4.220247745513916,-1.1364216804504395,-4.179134845733643
Ella is enjoyable to reveal.,Ella is soon to reveal.,-53.567734718322754,-50.77693319320679,-2.0962343215942383,-3.336178779602051,-2.502020835876465,-4.271526336669922,-0.9917939305305481,-3.392896890640259,-1.345350980758667,-4.004242897033691,-1.2843172550201416,-4.481651306152344,-1.1226680278778076,-4.590197563171387
Some person was sure to litter.,Some person was unpleasant to litter.,-62.12679576873779,-68.843017578125,-2.3415141105651855,-3.7689785957336426,-2.0109786987304688,-3.417337417602539,-0.8390970826148987,-3.357663154602051,-0.9879127740859985,-3.347409725189209,-1.6542904376983643,-4.5142822265625,-1.7247347831726074,-3.9962878227233887
The association that hasn't disgusted these dancers forgets Julia.,The association that hasn't disgusted these dancers forget Julia.,-111.67369079589844,-111.89306926727295,-2.6619553565979004,-3.829216480255127,-2.6870429515838623,-3.9160077571868896,-1.4758222103118896,-3.7393205165863037,-1.5747122764587402,-3.8408522605895996,-1.7810734510421753,-4.3316497802734375,-1.940238118171692,-4.203777313232422
Only most mothers of every guy who a report did disagree with have ever convinced Kathleen's senator to discover some spotlights.,Most mothers of every guy who only a report did disagree with have ever convinced Kathleen's senator to discover some spotlights.,-219.88433074951172,-213.51605987548828,-3.075005054473877,-3.379347324371338,-2.5360679626464844,-3.6533966064453125,-2.2001070976257324,-3.3412413597106934,-1.8099437952041626,-3.724670886993408,-1.3746751546859741,-3.7876505851745605,-1.1485021114349365,-4.153598785400391
Women discover the offspring that hadn't visited every mall.,Women discover what the offspring hadn't visited every mall.,-87.60589075088501,-95.49408149719238,-3.8636367321014404,-4.2256574630737305,-3.43404483795166,-4.112277030944824,-1.9274011850357056,-3.565375804901123,-1.6009172201156616,-3.7024903297424316,-1.1814216375350952,-4.1713786125183105,-1.6011550426483154,-4.175820350646973
It's herself that Rhonda had thought about.,It's herself that had thought about Rhonda.,-67.21373081207275,-73.54193210601807,-1.9827640056610107,-3.5205276012420654,-2.492062568664551,-3.2942724227905273,-0.8696377873420715,-3.120506525039673,-1.0810452699661255,-3.001178741455078,-1.336864948272705,-4.1017584800720215,-1.7093745470046997,-3.547443389892578
All waitresses should listen to what man?,What should all waitresses listen to man?,-75.79334735870361,-79.72019577026367,-1.419079303741455,-2.5580897331237793,-2.755568265914917,-2.681922674179077,-0.9694162607192993,-2.8897242546081543,-1.7224681377410889,-2.373154401779175,-2.6312475204467773,-5.178810119628906,-2.454025983810425,-5.200656890869141
Vincent remembers Adam.,A convertible remembers Adam.,-53.62679958343506,-61.14085674285889,-4.020361423492432,-6.941511631011963,-2.5777437686920166,-4.252162933349609,-1.828895092010498,-5.048716068267822,-1.0419870615005493,-3.9114136695861816,-1.0139362812042236,-4.571811676025391,-1.156097412109375,-3.9877843856811523
Carl's father is sure to observe Vincent.,Carl's father is boring to observe Vincent.,-78.46021842956543,-75.04274940490723,-3.865607976913452,-5.692295551300049,-3.26251482963562,-5.043850421905518,-1.6246519088745117,-4.377913475036621,-1.3820431232452393,-3.6539413928985596,-1.420968770980835,-4.371842384338379,-1.7870756387710571,-3.8345274925231934
Some essay has stunned one good associate and those ladies had stunned at least as many.,Some essay has stunned one associate and those ladies had stunned at least as many good.,-156.85136795043945,-163.5312271118164,-2.931117057800293,-4.105164527893066,-2.892730712890625,-3.7947769165039062,-1.7435606718063354,-4.223092079162598,-1.8925038576126099,-4.05583381652832,-2.694122791290283,-4.642354488372803,-2.33255672454834,-4.637687683105469
The hidden tomatoes were orange.,The hid tomatoes were orange.,-60.134199142456055,-67.87693977355957,-1.3088936805725098,-3.504725933074951,-1.6357837915420532,-2.8439812660217285,-0.6196365356445312,-3.4472265243530273,-0.8790106773376465,-2.357046604156494,-1.3837261199951172,-4.455240249633789,-1.341598391532898,-4.172346115112305
Gina loves herself.,Gina loves itself.,-35.15481948852539,-42.67798900604248,-1.0626665353775024,-3.8478474617004395,-1.928978443145752,-2.6763863563537598,-0.4918857216835022,-3.802213191986084,-1.0234109163284302,-2.4935922622680664,-2.104724168777466,-4.141631126403809,-2.629272699356079,-4.084142684936523
Steve had imagined that he flees from Ronald.,Steve had imagined that himself flees from Ronald.,-81.07182502746582,-94.22436714172363,-2.2902233600616455,-3.7760956287384033,-2.276782751083374,-3.5944764614105225,-1.1457995176315308,-3.3228015899658203,-1.202243447303772,-3.3157706260681152,-1.282680869102478,-4.050544261932373,-1.3864163160324097,-3.9760818481445312
Who will Bill conceal he knows?,Who will Bill conceal who knows?,-68.32892036437988,-67.22840785980225,-2.6509103775024414,-2.1637144088745117,-2.6694016456604004,-2.566450595855713,-1.7034614086151123,-1.812692403793335,-1.6072196960449219,-1.9868221282958984,-4.085575580596924,-5.9483771324157715,-3.824136257171631,-5.719829082489014
A museum is upset.,A museum is interacted.,-43.59546661376953,-60.46685028076172,-3.4885475635528564,-3.655958414077759,-2.8654847145080566,-4.107982158660889,-1.8924317359924316,-3.1462979316711426,-1.606386661529541,-3.8417000770568848,-1.1739352941513062,-4.0104241371154785,-2.220121145248413,-3.902971029281616
