good_sentence,bad_sentence,direct_log_prob_good,direct_log_prob_bad,MetaQuestionSimple_log_prob_good,MetaQuestionSimple_log_prob_bad,MetaInstruct_log_prob_good,MetaInstruct_log_prob_bad,MetaQuestionComplex_log_prob_good,MetaQuestionComplex_log_prob_bad
Becky wasn't described by the driver.,Becky wasn't described by the cups.,-89.77229309082031,-93.15626525878906,-5.888302326202393,-5.748445510864258,-5.349785804748535,-5.269298076629639,-5.360667705535889,-5.238880038261414
Elizabeth's son won't stun one ill sister and a lot of dancers' daughter won't stun two.,Elizabeth's son won't stun one sister and a lot of dancers' daughter won't stun two ill.,-177.28167724609375,-175.61294555664062,-4.300994396209717,-4.6887125968933105,-4.416274309158325,-4.894007444381714,-6.489881753921509,-6.497068643569946
Theresa won't research some banks that adults aggravate that forgot some pedestrian.,Theresa won't research who some banks that adults aggravate forgot some pedestrian.,-171.51942443847656,-187.11691284179688,-5.412455797195435,-5.053013563156128,-4.9898083209991455,-4.69693922996521,-6.010010719299316,-6.2235636711120605
Every waiter hid Julia.,Every waiter hidden Julia.,-91.9710693359375,-91.39254760742188,-6.175796031951904,-5.919654369354248,-6.088208198547363,-5.608939170837402,-5.27454686164856,-5.597041845321655
Which waitress has Amy hired?,Which has Amy hired waitress?,-88.03605651855469,-100.30667114257812,-5.8461689949035645,-4.806384921073914,-5.544400453567505,-4.5230371952056885,-6.014265537261963,-6.032602310180664
Each documentary about music is there astounding Stacey.,There is each documentary about music astounding Stacey.,-126.38739013671875,-124.08799743652344,-4.88637638092041,-5.446953296661377,-4.78101122379303,-4.871081590652466,-6.063737869262695,-5.932262897491455
No scarf should look like fewer than ten drawings.,No scarf should look like at most ten drawings.,-98.22392272949219,-97.47499084472656,-5.373703479766846,-5.926422595977783,-5.059110641479492,-5.2541184425354,-6.108022212982178,-6.068533420562744
Kenneth was considering there to be a teacher cooking.,Kenneth was obliging there to be a teacher cooking.,-101.21195983886719,-112.9293212890625,-6.157601594924927,-5.882391691207886,-6.033375978469849,-5.450665712356567,-4.906400203704834,-4.876993656158447
Literature bores that person.,Literature bores that people.,-85.30912017822266,-89.92855834960938,-5.9562036991119385,-5.990243196487427,-4.960391044616699,-5.2616963386535645,-5.514415979385376,-5.4528467655181885
Brett wasn't likely to fall.,Brett wasn't tough to fall.,-75.34092712402344,-82.31365966796875,-5.70645809173584,-5.72968864440918,-5.066965103149414,-5.081575870513916,-5.246317148208618,-5.086201906204224
That rabbit has found at least six mountains.,No rabbit has found at least six mountains.,-94.73880004882812,-84.57000732421875,-5.064630627632141,-5.664801359176636,-5.0659074783325195,-5.459010601043701,-5.690112352371216,-5.543207406997681
Most ladies weren't arguing about themselves.,Most ladies weren't arguing about herself.,-78.50580596923828,-82.05253601074219,-5.652410268783569,-5.458726644515991,-5.506638526916504,-5.388764381408691,-5.8467395305633545,-5.947371244430542
Rachelle wasn't driving to the lake.,The drawing wasn't driving to the lake.,-78.1058578491211,-88.404052734375,-5.363779783248901,-5.419511198997498,-4.817039489746094,-5.043795585632324,-4.2894251346588135,-4.5364649295806885
Some governments hadn't taken this hospital.,Some governments hadn't taken these hospital.,-99.09056091308594,-104.1292724609375,-5.783868312835693,-5.5235066413879395,-5.494339942932129,-5.045536994934082,-6.2485175132751465,-5.9874138832092285
Some pedestrians figure out that most drivers describe Elizabeth.,Some pedestrians figure out who most drivers describe Elizabeth.,-118.82101440429688,-126.28764343261719,-5.080503225326538,-5.120590925216675,-4.831388473510742,-4.900155544281006,-6.2266786098480225,-5.897846460342407
Some glass had bothered at most ten patients.,No glass had bothered at most ten patients.,-110.24201965332031,-105.07061767578125,-5.386314868927002,-5.943870544433594,-4.979015231132507,-5.293148994445801,-6.441632509231567,-6.354131460189819
There were some associations interacting.,There were all associations interacting.,-81.33451843261719,-89.22038269042969,-5.469910383224487,-5.350316286087036,-5.247670888900757,-5.217515707015991,-5.556114196777344,-5.484383463859558
The child is breaking most plates.,The children is breaking most plates.,-82.69075012207031,-88.93328857421875,-6.091797828674316,-6.002788066864014,-5.95326042175293,-5.717947959899902,-5.7022600173950195,-5.61362087726593
Ella is enjoyable to reveal.,Ella is soon to reveal.,-73.3414306640625,-70.76686096191406,-5.748457431793213,-6.0417561531066895,-5.366963624954224,-5.514729738235474,-5.201660394668579,-5.446157693862915
Some person was sure to litter.,Some person was unpleasant to litter.,-84.9732666015625,-88.55441284179688,-5.567344427108765,-5.40847373008728,-5.290821075439453,-5.2518463134765625,-5.716368913650513,-5.713953256607056
The association that hasn't disgusted these dancers forgets Julia.,The association that hasn't disgusted these dancers forget Julia.,-130.38783264160156,-130.06658935546875,-6.665415287017822,-6.236634254455566,-6.66716742515564,-6.0501625537872314,-6.8540496826171875,-6.702807426452637
Only most mothers of every guy who a report did disagree with have ever convinced Kathleen's senator to discover some spotlights.,Most mothers of every guy who only a report did disagree with have ever convinced Kathleen's senator to discover some spotlights.,-240.56790161132812,-231.183837890625,-6.160430431365967,-6.218146800994873,-5.831981420516968,-5.684579610824585,-7.1036858558654785,-7.216264009475708
Women discover the offspring that hadn't visited every mall.,Women discover what the offspring hadn't visited every mall.,-107.82008361816406,-114.56178283691406,-5.988935708999634,-6.157318830490112,-5.705004453659058,-5.921008348464966,-5.594395875930786,-5.436554193496704
It's herself that Rhonda had thought about.,It's herself that had thought about Rhonda.,-88.6982421875,-95.60377502441406,-6.516893625259399,-5.750053644180298,-5.848453521728516,-5.2796149253845215,-6.132140636444092,-5.844400405883789
All waitresses should listen to what man?,What should all waitresses listen to man?,-91.486572265625,-101.95460510253906,-5.325993299484253,-5.218724966049194,-4.592240810394287,-4.815762519836426,-5.504354000091553,-5.624499320983887
Vincent remembers Adam.,A convertible remembers Adam.,-74.43312072753906,-82.84983825683594,-6.199402570724487,-6.7439141273498535,-5.218191981315613,-5.867639780044556,-4.743259906768799,-4.635765075683594
Carl's father is sure to observe Vincent.,Carl's father is boring to observe Vincent.,-98.97422790527344,-95.8809814453125,-5.975260496139526,-6.116249322891235,-5.734347581863403,-5.6250622272491455,-5.139967083930969,-5.241192698478699
Some essay has stunned one good associate and those ladies had stunned at least as many.,Some essay has stunned one associate and those ladies had stunned at least as many good.,-178.30706787109375,-185.0541229248047,-4.888678073883057,-5.495924472808838,-4.929972887039185,-5.460172414779663,-7.418527603149414,-7.357821464538574
The hidden tomatoes were orange.,The hid tomatoes were orange.,-80.86817932128906,-87.8330078125,-6.1751017570495605,-5.900747299194336,-6.112775564193726,-5.838429689407349,-5.533514499664307,-6.055395126342773
Gina loves herself.,Gina loves itself.,-57.00615310668945,-63.78334426879883,-5.952600717544556,-5.4040162563323975,-5.5784149169921875,-4.850315093994141,-4.531737923622131,-4.750914573669434
Steve had imagined that he flees from Ronald.,Steve had imagined that himself flees from Ronald.,-101.445556640625,-113.60682678222656,-7.076216220855713,-6.924893379211426,-6.4559290409088135,-6.356521129608154,-5.934504508972168,-5.87027645111084
Who will Bill conceal he knows?,Who will Bill conceal who knows?,-89.257568359375,-87.83073425292969,-6.25092887878418,-6.508276462554932,-5.95537543296814,-5.998163461685181,-5.866237640380859,-5.811216831207275
A museum is upset.,A museum is interacted.,-63.98054504394531,-80.79560852050781,-6.193388938903809,-5.480208873748779,-5.467252254486084,-4.715428352355957,-4.896029710769653,-4.980998277664185
The mushroom isn't bought by some men.,The mushroom isn't bought by some plane.,-89.53883361816406,-93.50393676757812,-4.543020725250244,-5.2130231857299805,-4.074244976043701,-4.867356300354004,-5.393829584121704,-5.348551034927368
Alice conceals what the teenager that couldn't scan some newspaper articles couldn't walk through.,Alice conceals that the teenager that couldn't scan some newspaper articles couldn't walk through.,-169.64352416992188,-163.56304931640625,-6.4489665031433105,-6.836669921875,-6.129955291748047,-6.579712390899658,-6.122161388397217,-6.088699817657471
That bank that wouldn't resemble those sketches is talking to itself.,That bank that wouldn't resemble those sketches is talking to themselves.,-125.63662719726562,-126.57380676269531,-6.0207295417785645,-6.144247055053711,-5.692503452301025,-5.878936767578125,-5.9717371463775635,-6.130586385726929
That cart had accelerated.,That cart had seen.,-83.03099060058594,-82.8232421875,-6.577747583389282,-5.938244581222534,-5.941624402999878,-5.497942209243774,-5.112226247787476,-4.930558800697327
The doctors see these waitresses that weren't disturbing Chad.,The doctors see who these waitresses weren't disturbing Chad.,-140.4944305419922,-139.88258361816406,-5.379321336746216,-5.321379899978638,-5.2905964851379395,-5.381496429443359,-6.4641571044921875,-6.307384014129639
Ellen opened most doors.,Ellen appeared most doors.,-84.89065551757812,-86.48074340820312,-6.376070499420166,-5.911827564239502,-5.716763257980347,-5.356300115585327,-5.267265558242798,-4.976062536239624
Many children talk to themselves.,Many children talk to himself.,-63.29221725463867,-70.52577209472656,-5.357178211212158,-5.697637557983398,-5.430363655090332,-5.843880653381348,-5.863142013549805,-5.941712379455566
Russell knows that the men that weren't descending the hills had disliked Steven.,Russell knows who the men that weren't descending the hills had disliked Steven.,-143.2606201171875,-156.50518798828125,-5.933823347091675,-5.714190244674683,-6.102524995803833,-6.021230936050415,-6.098016023635864,-6.2995946407318115
Some ice isn't lifted by some boy.,Some ice isn't lifted by some octopus.,-89.3358154296875,-93.07984924316406,-5.371726989746094,-5.582010746002197,-5.097968697547913,-5.297272205352783,-5.888349533081055,-5.948124408721924
It's herself that Patricia investigates.,It's herself that investigates Patricia.,-84.04666137695312,-90.88807678222656,-6.483576536178589,-5.704386949539185,-5.493910789489746,-4.759184837341309,-5.806907892227173,-5.680793046951294
Some glove wasn't irritating some teenager.,Some glove aren't irritating some teenager.,-98.81993103027344,-102.09524536132812,-5.8697826862335205,-5.5696141719818115,-5.239265203475952,-4.9188148975372314,-6.49897027015686,-6.616792917251587
Jennifer concealed those cups.,Jennifer concealed those cup.,-79.83711242675781,-90.8021240234375,-5.817506313323975,-5.5473456382751465,-5.441344261169434,-5.1670050621032715,-4.544034481048584,-4.947848439216614
Rodney was moving Victoria.,Rodney was sighing Victoria.,-82.40546417236328,-88.50566101074219,-5.239964723587036,-5.97248387336731,-4.974990367889404,-5.66046142578125,-5.427133083343506,-5.477286338806152
That lamp wasn't darkening.,That lamp wasn't buying.,-83.17977905273438,-80.33586883544922,-5.633442640304565,-5.150131940841675,-4.941770792007446,-4.6948912143707275,-4.896970748901367,-5.0090813636779785
Every dancer can't say some committee loves itself.,Every dancer can't say some committee loves herself.,-113.05467224121094,-114.0032958984375,-5.785699844360352,-5.940438747406006,-5.333157062530518,-5.456860065460205,-6.1112353801727295,-6.152261972427368
Only those adults who Wayne loved should ever order Samantha to impress Mary.,Those adults who only Wayne loved should ever order Samantha to impress Mary.,-145.68605041503906,-151.85360717773438,-6.39335823059082,-6.136063575744629,-5.939024925231934,-6.000708103179932,-6.448441743850708,-6.285813570022583
Who has Tonya learned she approaches?,Who has Tonya learned who approaches?,-95.04197692871094,-94.26791381835938,-5.608880043029785,-5.842329502105713,-5.2276458740234375,-5.2238850593566895,-6.301643133163452,-6.354151964187622
Most actors skated around this library.,Many reports skated around this library.,-90.11813354492188,-89.6754150390625,-5.424230098724365,-5.242076873779297,-5.278586149215698,-5.190021276473999,-5.01964807510376,-5.158791542053223
Jodi drove to some hills.,Jodi driven to some hills.,-78.62391662597656,-80.67585754394531,-5.9335174560546875,-5.265672206878662,-5.571607828140259,-4.9274866580963135,-5.255866289138794,-5.367267370223999
The known cashiers weren't important.,The knew cashiers weren't important.,-92.04522705078125,-88.75627136230469,-5.8906097412109375,-5.7384352684021,-5.25023078918457,-5.479070663452148,-6.066546440124512,-6.193553924560547
This mother of the Borgias wakes up.,This mother of the Borgias praised.,-105.02610778808594,-113.50816345214844,-5.933179616928101,-6.312828779220581,-5.497998476028442,-5.638189077377319,-4.591679334640503,-4.340202569961548
All tomatoes can ripen.,All tomatoes can look like.,-80.43412780761719,-81.30130004882812,-5.0975446701049805,-4.823776721954346,-4.854492902755737,-4.644365549087524,-4.245925664901733,-4.14729905128479
James wasn't revealed by some woman.,James wasn't revealed by some cars.,-89.37614440917969,-90.2010498046875,-4.979575276374817,-4.889984846115112,-4.461968779563904,-4.601694107055664,-5.277470111846924,-5.1721391677856445
This screen that is disgusting Helen did bore itself.,This screen that is disgusting Helen did bore herself.,-136.05320739746094,-136.80496215820312,-5.825118780136108,-5.780135869979858,-5.3124377727508545,-5.4317991733551025,-6.237452983856201,-6.292196750640869
The actors weren't working with themselves.,The actors weren't working with himself.,-79.5385513305664,-81.416748046875,-5.052863836288452,-5.242204427719116,-5.100500583648682,-5.172952175140381,-6.102823495864868,-6.340245962142944
Every unicycle is sold by the senator.,Every unicycle is sold by the report.,-84.41466522216797,-90.38671875,-6.139894008636475,-5.4010162353515625,-5.429625034332275,-4.835004806518555,-4.3839263916015625,-4.537630081176758
The worn glasses weren't dirty.,The wore glasses weren't dirty.,-77.50646209716797,-85.14021301269531,-4.864033937454224,-4.786097288131714,-4.229182124137878,-4.1844847202301025,-5.863270282745361,-5.738134860992432
What malls has Ella biked to?,What has Ella biked to malls?,-98.58259582519531,-101.5498046875,-5.230693578720093,-3.7859880924224854,-4.952800512313843,-3.3651363849639893,-6.188177824020386,-6.332712411880493
Only Randolf does ever boast about Carlos.,Even Randolf does ever boast about Carlos.,-116.61033630371094,-125.50323486328125,-5.94865345954895,-6.8336217403411865,-5.618002891540527,-6.476959228515625,-5.718111991882324,-6.073556423187256
Marla's French teacher wants it to be not so pleasant that some governments haven't dared Emily to conceal William.,Marla's French teacher was pressuring it to be not so pleasant that some governments haven't dared Emily to conceal William.,-196.20468139648438,-213.69998168945312,-5.759634017944336,-5.615317344665527,-5.783028841018677,-5.5701820850372314,-6.062984466552734,-6.2800068855285645
Dennis was passing whose closet?,Whose was Dennis passing closet?,-90.63154602050781,-87.32037353515625,-5.674938201904297,-5.408419132232666,-5.117749214172363,-4.793622970581055,-5.868091106414795,-5.9494781494140625
Who have these turtles astounded without impressing Naomi?,Who have these turtles astounded Naomi without impressing?,-126.58583068847656,-124.96177673339844,-6.742720603942871,-6.355384349822998,-6.057346343994141,-5.593079566955566,-6.351082801818848,-6.100214004516602
Essays about Galileo weren't fun to disagree with.,Essays about Galileo weren't about to disagree with.,-95.09361267089844,-96.91061401367188,-6.167136907577515,-6.1768739223480225,-5.410628318786621,-5.384435653686523,-5.488474369049072,-5.13835608959198
Who had Kristen's tutor that didn't admire Nancy's students cared for?,Who had Nancy's students cared for Kristen's tutor that didn't admire?,-147.67486572265625,-150.9890899658203,-4.867413759231567,-4.804481387138367,-4.614230036735535,-4.476221203804016,-6.088321208953857,-6.171237945556641
Meredith had preferred there to be a box impressing Carol.,Meredith had begged there to be a box impressing Carol.,-126.8033447265625,-121.80091857910156,-6.413075685501099,-6.493517160415649,-6.016602039337158,-6.018739223480225,-5.547993421554565,-5.576370477676392
Ellen could hide away.,Ellen could see.,-77.71467590332031,-64.79402923583984,-6.422518491744995,-6.1224730014801025,-5.858793497085571,-5.387927770614624,-3.9373180866241455,-3.852629780769348
The Clintons toured that red high school.,The Clintons toured those red high school.,-97.25587463378906,-104.67962646484375,-5.886100769042969,-5.713218688964844,-5.0629496574401855,-5.054450035095215,-6.126788139343262,-5.972784042358398
The patient messes up these hospitals.,The patients messes up these hospitals.,-86.07382202148438,-88.82940673828125,-6.558627367019653,-6.600255250930786,-6.461262941360474,-6.276112794876099,-5.951080083847046,-5.978028059005737
A lot of mouths that were impressing a doctor had not ever flung open.,A lot of mouths that were not impressing a doctor had ever flung open.,-131.08367919921875,-131.4818115234375,-5.70072078704834,-5.559713363647461,-5.326181888580322,-5.167264461517334,-6.059156656265259,-6.179988622665405
Who will some cashiers and this girl break?,Who could some cashiers break and this girl?,-106.36154174804688,-103.39797973632812,-6.556304216384888,-6.257821321487427,-5.862177133560181,-5.498548746109009,-5.5044848918914795,-5.474325895309448
Eva got fired.,Eva gotten fired.,-67.62617492675781,-73.79651641845703,-6.24530553817749,-6.279820919036865,-5.97724175453186,-5.867242097854614,-5.49448299407959,-5.691349983215332
Tina reveals that this guy had researched this committee.,Tina reveals what this guy had researched this committee.,-110.65640258789062,-121.40675354003906,-6.2220375537872314,-5.794921159744263,-5.992473602294922,-5.624608039855957,-5.860139846801758,-5.6084394454956055
No girl was arriving at more than two libraries.,No girl was arriving at at least two libraries.,-87.99198913574219,-88.86494445800781,-6.137186527252197,-5.870321750640869,-5.574066400527954,-5.335150480270386,-5.896754026412964,-5.84705662727356
Carrie's nephews that are approaching this guy had not ever persuaded Peter's best friends to dislike Patricia.,Carrie's nephews that are not approaching this guy had ever persuaded Peter's best friends to dislike Patricia.,-196.6858673095703,-188.9383544921875,-5.938618898391724,-5.866186857223511,-5.703603982925415,-5.578265428543091,-6.595737457275391,-6.713690280914307
Matt isn't disturbing himself.,Matt isn't disturbing itself.,-71.91635131835938,-76.90911865234375,-5.713575601577759,-5.372822523117065,-5.1625518798828125,-4.953399658203125,-5.359192609786987,-5.453007817268372
George isn't remembering who many men complain about.,George isn't remembering that many men complain about.,-99.66136169433594,-102.12956237792969,-5.540276527404785,-5.498305797576904,-5.236011743545532,-5.167959451675415,-5.565098762512207,-5.70188045501709
Beverly's grandmothers ascend three slopes and that dancer's grandsons ascend almost as many lost slopes.,Beverly's grandmothers ascend three smooth slopes and that dancer's grandsons ascend almost as many lost.,-179.11285400390625,-185.19195556640625,-4.9825897216796875,-4.856991767883301,-4.538149952888489,-4.329095840454102,-6.47616982460022,-6.375266790390015
Kristen wasn't discovering two out in the open grandfathers and most nephews of Karla aren't discovering three.,Kristen wasn't discovering two grandfathers and most nephews of Karla aren't discovering three out in the open.,-201.430908203125,-197.98951721191406,-4.837860822677612,-4.755572557449341,-4.937359571456909,-4.988644361495972,-6.037195444107056,-6.1978442668914795
Karla could listen to herself.,Karla could listen to himself.,-73.69868469238281,-78.63652801513672,-5.847474575042725,-6.069980144500732,-5.5384228229522705,-5.7819740772247314,-4.455734848976135,-4.412475347518921
Derek isn't referencing himself.,Derek isn't referencing itself.,-73.11140441894531,-77.04793548583984,-4.538594007492065,-4.967764139175415,-4.917566776275635,-5.468001842498779,-4.975139617919922,-4.9637370109558105
Julie attacks five brothers and all customers' tutor attacks four upset brothers.,Julie attacks five ill brothers and all customers' tutor attacks four upset.,-154.5744171142578,-173.1381378173828,-4.886202335357666,-4.745697498321533,-5.34185266494751,-5.027344703674316,-6.066188097000122,-6.022740125656128
An adult can take at most four mountains.,No adult can take at most four mountains.,-80.13109588623047,-89.81236267089844,-5.061400413513184,-5.581266403198242,-4.70456337928772,-5.216522932052612,-5.080555200576782,-5.4773513078689575
A lot of teenagers noticed a few unemployed contractors and Andrea's dermatologist noticed a lot.,A lot of teenagers noticed a few contractors and Andrea's dermatologist noticed a lot unemployed.,-148.4257049560547,-148.9368133544922,-4.542534232139587,-4.625785827636719,-4.1502697467803955,-4.576192617416382,-6.113244295120239,-6.199932813644409
The Clintons' sisters joke around.,The Clintons' sisters bike to.,-83.1680679321289,-88.54417419433594,-6.385526180267334,-5.0928215980529785,-5.400242805480957,-4.040862083435059,-4.7267986536026,-4.552572727203369
There isn't a river disappearing.,There isn't each river disappearing.,-73.29035949707031,-85.33500671386719,-5.196970224380493,-4.929859399795532,-5.2049880027771,-5.194008827209473,-5.389017581939697,-5.3092697858810425
Who had this sister of Stephen that isn't finding Charles talked to?,Who had Charles talked to this sister of Stephen that isn't finding?,-129.9097900390625,-135.6414337158203,-4.648532867431641,-4.947206497192383,-4.665099859237671,-4.4272449016571045,-6.144876956939697,-6.322718620300293
Lawrence can astound which museum?,Which can Lawrence astound museum?,-97.860595703125,-93.61299133300781,-5.887810230255127,-5.363559722900391,-5.1256091594696045,-5.02996551990509,-6.190630674362183,-6.18232798576355
Gina didn't see herself.,Gina didn't see themselves.,-65.00812530517578,-70.40968322753906,-5.322908878326416,-5.2524733543396,-4.962260723114014,-4.920255184173584,-4.573767423629761,-4.423273324966431
Some dancers that were leaving Scott need to return to Gregory.,Some dancers that were leaving Scott needs to return to Gregory.,-122.81932067871094,-119.82534790039062,-7.448936223983765,-6.751501083374023,-6.727233648300171,-6.455556631088257,-5.986375570297241,-6.0153234004974365
Mark had observed what pedestrian?,What had Mark observed pedestrian?,-98.03646850585938,-91.83302307128906,-5.851178169250488,-5.970428466796875,-5.293483018875122,-5.414942502975464,-5.756507635116577,-6.04974102973938
Kathleen shouldn't see those restaurants that had worried the cashier.,Kathleen shouldn't see who those restaurants had worried the cashier.,-124.75804138183594,-132.22300720214844,-4.659123182296753,-4.438309907913208,-4.133815765380859,-4.197333335876465,-5.540473461151123,-5.396652698516846
Lori disgusted herself.,Lori disgusted itself.,-73.32469940185547,-76.80595397949219,-5.503981113433838,-5.650049209594727,-5.1791605949401855,-5.350074291229248,-5.863455295562744,-5.934750556945801
Helen is observed by the doctor.,Helen is observed by the candles.,-69.93080139160156,-77.73048400878906,-5.6792683601379395,-5.1324286460876465,-5.507518529891968,-4.933689475059509,-4.867297887802124,-4.74127733707428
Teresa likes Alan.,Teresa like Alan.,-71.44816589355469,-73.42752838134766,-5.930826425552368,-5.890664339065552,-5.896334648132324,-5.759947776794434,-5.231746196746826,-5.137059688568115
Mary had left.,Mary had referenced.,-56.13717269897461,-70.69328308105469,-6.553206205368042,-6.540529012680054,-5.724548101425171,-5.88982367515564,-4.697812080383301,-4.346175670623779
Marie isn't sure to entreat Steven to ascend the hills.,Marie isn't boring to entreat Steven to ascend the hills.,-115.54002380371094,-127.5260238647461,-5.914373874664307,-5.522003173828125,-5.548062562942505,-5.399462461471558,-5.517149209976196,-5.513896226882935
Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,-82.77641296386719,-85.43162536621094,-4.846548795700073,-3.8144423961639404,-4.290176153182983,-3.4529292583465576,-5.6436543464660645,-5.6988701820373535
Mitchell criticized Amy.,Some art gallery criticized Amy.,-64.422119140625,-86.55465698242188,-5.343311309814453,-5.903687000274658,-4.655913829803467,-5.131776928901672,-4.80672562122345,-5.065823912620544
The worn skirts weren't important.,The wore skirts weren't important.,-86.27224731445312,-85.83279418945312,-5.1573944091796875,-5.224987983703613,-4.477268934249878,-4.622513055801392,-5.966823101043701,-5.9534382820129395
Ella was researching a few scared ex-boyfriends and Mary was researching several.,Ella was researching a few ex-boyfriends and Mary was researching several scared.,-136.15884399414062,-141.85391235351562,-5.1303791999816895,-4.376758098602295,-4.881366968154907,-4.561557054519653,-5.870751619338989,-5.925802946090698
Becky paints.,Becky conceals.,-64.45426940917969,-75.37590026855469,-7.46410608291626,-8.210604429244995,-6.370487451553345,-7.2025182247161865,-3.8432555198669434,-3.5611791610717773
Katherine wasn't thinking that schools hadn't loved her.,Katherine wasn't thinking that schools hadn't loved herself.,-100.67269897460938,-107.79460144042969,-5.558164834976196,-6.092559576034546,-5.267428278923035,-5.806947708129883,-5.68157434463501,-5.81181001663208
The hidden bicycles weren't exposed.,The hid bicycles weren't exposed.,-83.72651672363281,-95.40333557128906,-6.319026231765747,-6.06957221031189,-5.940282106399536,-6.001998662948608,-6.099853754043579,-6.28731632232666
Some child hasn't bored April.,Some child haven't bored April.,-79.39154052734375,-81.43693542480469,-6.535737991333008,-5.776736259460449,-6.715551137924194,-6.110868692398071,-5.926548719406128,-6.099240064620972
It's itself that every book hasn't disagreed with.,It's itself that hasn't disagreed with every book.,-103.77806091308594,-102.04513549804688,-4.985693454742432,-4.801614284515381,-4.841060400009155,-4.6230103969573975,-5.235736846923828,-5.1759514808654785
Catherine took some eggplants.,Catherine taken some eggplants.,-74.732421875,-86.503662109375,-5.903667688369751,-5.521583795547485,-5.9767420291900635,-5.442736864089966,-4.868764162063599,-4.90170419216156
A patient finds out that the actress that didn't kiss Veronica returns to Bruce.,A patient finds out who the actress that didn't kiss Veronica returns to Bruce.,-149.91798400878906,-154.31602478027344,-6.06221604347229,-5.97139573097229,-5.954148769378662,-5.979913711547852,-6.887924671173096,-6.232846736907959
Irene could have one bank and Martha's French teachers could have three rough bank.,Irene could have one red bank and Martha's French teachers could have three rough.,-161.03182983398438,-160.17518615722656,-5.475069761276245,-5.27015233039856,-4.7552809715271,-4.407195091247559,-5.984412908554077,-5.806345224380493
Can Randolf ever flee from Anna?,Randolf can ever flee from Anna.,-101.67657470703125,-99.50059509277344,-6.869662046432495,-6.1257593631744385,-6.692631244659424,-5.878150939941406,-5.7668678760528564,-6.063006162643433
Margaret is remembered by Stephen's associates.,Margaret is shrugged by Stephen's associates.,-101.86854553222656,-105.02970886230469,-5.685572385787964,-5.742180585861206,-5.480420351028442,-5.517188310623169,-5.984552621841431,-5.934717416763306
Brett is kissing which doctor?,Which is Brett kissing doctor?,-76.2792739868164,-87.61627197265625,-5.347466468811035,-4.69505512714386,-4.89031982421875,-4.266515254974365,-5.646227598190308,-5.831022500991821
There seemed to be a cafe disappearing.,There plans to be a cafe disappearing.,-87.88206481933594,-97.85118103027344,-5.653472661972046,-5.529897928237915,-5.297445058822632,-5.315851926803589,-5.390764117240906,-5.767069101333618
Nicole is cleaning those green couches.,Nicole is cleaning that green couches.,-90.52964782714844,-96.79579162597656,-5.873358964920044,-5.970934629440308,-5.452361583709717,-5.533592700958252,-5.289113759994507,-5.53112256526947
The Impressionists' grandfather took one exposed shawl and Jerry took several.,The Impressionists' grandfather took one shawl and Jerry took several exposed.,-151.12042236328125,-158.30941772460938,-4.548362493515015,-4.39825177192688,-4.208113670349121,-3.971363067626953,-5.947333335876465,-6.019782066345215
This dancer who hadn't known Aaron hadn't appreciated herself.,This dancer who hadn't known Aaron hadn't appreciated himself.,-118.94245910644531,-118.68121337890625,-6.186850547790527,-6.20537805557251,-5.893169403076172,-5.876811504364014,-6.176564693450928,-6.163534164428711
Cynthia's handymen hadn't judged it to be acceptable that some people see.,Cynthia's handymen should advise it to be acceptable that some people see.,-132.19598388671875,-133.3926239013672,-6.0479443073272705,-5.349718332290649,-5.65992283821106,-5.096975564956665,-5.221212148666382,-5.371957421302795
Deborah imagines herself confusing that association.,Deborah imagines herself confused that association.,-98.65426635742188,-100.01727294921875,-6.1633031368255615,-6.253403902053833,-5.521450757980347,-6.055338621139526,-6.081736087799072,-5.815248489379883
Only Marie's girlfriend who Alexander is working with ever lies.,Marie's girlfriend who only Alexander is working with ever lies.,-125.75228881835938,-117.06111145019531,-5.91662073135376,-5.7683491706848145,-5.735155344009399,-5.586251974105835,-6.454880952835083,-6.460616111755371
Who hadn't Julie's grandfather that approached some son of Robert cured?,Who hadn't some son of Robert cured Julie's grandfather that approached?,-151.65298461914062,-151.2004852294922,-5.547560691833496,-5.734561920166016,-4.481011986732483,-5.027915596961975,-6.241246461868286,-6.342247486114502
Guy thought about himself alarming Theodore.,Guy thought about himself alarmed Theodore.,-97.3101806640625,-103.85848999023438,-5.265834093093872,-5.436816453933716,-5.391692161560059,-5.350325107574463,-6.164226770401001,-6.107777833938599
There is a pepper falling.,There is each pepper falling.,-76.55271911621094,-90.50369262695312,-5.884274482727051,-5.759451389312744,-5.761192083358765,-5.41153883934021,-5.137688159942627,-5.162989020347595
Many students who don't listen to this lady don't irritate Carrie.,Many students who don't listen to this lady doesn't irritate Carrie.,-113.34518432617188,-116.64317321777344,-6.441205978393555,-6.60448694229126,-6.482579946517944,-6.655155420303345,-5.879283905029297,-5.869638919830322
This rug worries that child.,This rug worries those child.,-95.88572692871094,-104.98765563964844,-5.7796242237091064,-5.450293779373169,-5.594609022140503,-5.3123815059661865,-5.655686378479004,-5.727013111114502
The men weren't profiting.,The man weren't profiting.,-76.936767578125,-79.2100830078125,-5.732598066329956,-5.354607820510864,-5.1104536056518555,-5.0158257484436035,-5.361078977584839,-5.209814190864563
There was a niece of Gary hiding away.,There was each niece of Gary hiding away.,-111.03369140625,-118.0697021484375,-5.68528938293457,-5.630420684814453,-5.309268236160278,-5.105064153671265,-5.51433539390564,-5.568225622177124
